Token,Name,Sector,Date,Round,Total Funding,Valuation,Price,MC,FDV,Exchange
ARTFI,Artfi,,Jun 17,--,--,--,,,,
,Yuliverse,,Jun 12,Pre-A,$ 4 M,--,,,,
LADYS,Milady,,Jun 03,--,$ 5 M,--,,,,
ZENT,Zentry,,May 30,Strategic,--,--,,,,
API3,API3,,May 29,Strategic,$ 4 M,--,,,,
,Parasail,,May 28,Seed,$ 4 M,$ 50 M,,,,
,Kelp DAO,,May 22,Private,$ 9 M,$ 90 M,,,,
,Shogun,,May 15,Seed,$ 6.9 M,$ 69 M,,,,
NLK,NuLink,,May 08,Strategic,$ 1.6 M,--,,,,
,LazyBear,,Apr 29,Strategic,$ 4 M,--,,,,
,Tevaera,,Apr 24,Seed,$ 5 M,--,,,,
SCA,Scallop,,Apr 22,Strategic,--,--,,,,
KLAY,Klaytn,,Apr 19,--,--,--,,,,
,peaq,,Mar 27,--,$ 15 M,--,,,,
ALEX,Alex,,Mar 26,Strategic,$ 10 M,$ 333.33 M,,,,
GLQ,GraphLinq Chain,,Mar 25,--,--,--,,,,
,Nebula Revelation,,Mar 21,--,--,--,,,,
FLASH,Flash Protocol,,Mar 18,Private,--,--,,,,
JUICE,Juice Finance,,Mar 18,--,$ 1 M,--,,,,
,Ten,,Mar 15,--,$ 9 M,$ 30 M,,,,
DMR,DeMR,,Mar 13,--,--,--,,,,
ORN,Lumia,,Mar 07,Strategic,--,--,,,,
TOKEN,TokenFi,,Mar 05,--,$ 10 M,--,,,,
PROM,Prom,,Feb 21,--,--,--,,,,
BBL,Beoble,,Feb 19,Seed,$ 5 M,--,,,,
ULTI,Ultiverse,,Feb 14,Strategic,$ 4 M,$ 150 M,,,,
,Analog,,Feb 12,--,$ 16 M,$ 120 M,,,,
,Doubler,,Jan 30,Seed,--,--,,,,
,DeBox,,Jan 19,Strategic,--,--,,,,
,CESS,,"Dec 28, 2023",--,$ 8 M,--,,,,
MBOX,MOBOX,,"Dec 19, 2023",--,--,--,,,,
MAP,Protocol,,"Dec 07, 2023",--,--,--,,,,
FLOKI,FLOKI,,"Dec 05, 2023",--,$ 1.25 M,--,,,,
PORT3,Port3,,"Oct 23, 2023",--,--,--,,,,
AMB,AirDAO,,"Oct 03, 2023",--,$ 7.5 M,--,,,,
VIC,Viction,,"Oct 02, 2023",--,--,--,,,,
LEVER,LeverFi,,"Sep 26, 2023",--,$ 2 M,--,,,,
C98,Coin98 Finance,,"Aug 08, 2023",--,$ Millions,--,,,,
CRU,Crust Network,,"Jul 10, 2023",--,--,--,,,,
CFX,Conflux,,"Jun 28, 2023",--,$ 18 M,--,,,,
VELO,Velo,,"Jun 26, 2023",--,$ 10 M,--,,,,
POLX,Polylastic,,"May 10, 2023",--,--,--,,,,
MARS4,Mars4,,"May 06, 2023",--,--,--,,,,
ARPA,ARPA,,"Apr 25, 2023",--,$ Millions,--,,,,
POND,Marlin,,"Apr 23, 2023",--,--,--,,,,
MEE,Medieval Empires,,"Apr 14, 2023",--,$ 3 M,--,,,,
EOS,EOS,,"Apr 13, 2023",--,$ 60 M,--,,,,
RSS3,RSS3,,"Apr 11, 2023",--,$ 10 M,--,,,,
LAI,LayerAI,,"Apr 10, 2023",Series A,$ 10 M,$ 250 M,,,,
SIN,SinVerse,,"Apr 10, 2023",--,--,--,,,,
RACA,RACA,,"Apr 05, 2023",--,$ 16 M,--,,,,
GOAL,TopGoal,,"Apr 04, 2023",--,--,--,,,,
ACH,Alchemy Pay,,"Apr 03, 2023",--,$ 10 M,$ 400 M,,,,
APM,apM Coin,,"Mar 30, 2023",--,$ 5 M,--,,,,
FET,Fetch.ai,,"Mar 29, 2023",--,$ 40 M,$ 250 M,,,,
NULS,NULS,,"Mar 29, 2023",--,--,--,,,,
,SO-COL,,"Mar 28, 2023",--,$ 1.5 M,--,,,,
XRD,Radix,,"Mar 23, 2023",--,$ 10 M,$ 400 M,,,,
TOMI,tomi,,"Mar 21, 2023",--,$ 40 M,--,,,,
SNX,Synthetix,,"Mar 20, 2023",--,$ 20 M,--,,,,
TIME,Chrono.tech,,"Mar 17, 2023",--,--,--,,,,
ORBS,Orbs,,"Mar 14, 2023",--,$ 10 M,--,,,,
,Tonstarter,,"Mar 07, 2023",Seed,$ 1.5 M,--,,,,
CFX,Conflux,,"Mar 01, 2023",--,$ 10 M,--,,,,
BDX,Beldex,,"Feb 23, 2023",--,$ 25 M,--,,,,
WIFI,WiFi Map,,"Feb 22, 2023",--,--,--,,,,
SIX,Network,,"Feb 19, 2023",--,--,--,,,,
YGG,Yield Guild Games,,"Feb 17, 2023",--,$ 13.8 M,--,,,,
CTC,Creditcoin,,"Feb 08, 2023",--,--,--,,,,
CANDY,LENA,,"Jan 31, 2023",--,--,--,,,,
MASK,Mask Network,,"Jan 19, 2023",Strategic,$ 5 M,--,,,,
SIS,Symbiosis Finance,,"Jan 17, 2023",--,--,--,,,,
SPA,Sperax,,"Jan 12, 2023",--,--,--,,,,
MRST,Mars,,"Dec 16, 2022",--,$ 1 M,--,,,,
,NF3,,"Dec 09, 2022",Seed,$ 1.65 M,--,,,,
XDAO,XDAO,,"Nov 25, 2022",Financing after Listed,$ 2.3 M,$ 50 M,,,,
NOM,Onomy,,"Nov 23, 2022",Private,$ 10 M,--,,,,
,MAD Metaverse,,"Nov 22, 2022",Strategic,--,--,,,,
,Precog Finance,,"Oct 22, 2022",Private,$ 3.5 M,--,,,,
,Headquarters,,"Sep 21, 2022",Pre-Seed,$ 5 M,--,,,,
AMB,AirDAO,,"Sep 21, 2022",--,$ 2 M,--,,,,
